🕘️更新时间,#genre#
2026-08-21 03:32:39,http://112.27.5.218:9901/tsfile/live/faacts/0001_1.m3u8?key=txiptv&playlive=1&authid=0

4K频道,#genre#

央视卫视频道,#genre#
CCTV-1,http://112.27.5.218:9901/tsfile/live/faacts/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1,http://114.241.105.149:85/tsfile/live/1/1001_1.m3u8?key=txiptv
CCTV-1,http://123.159.68.147:85/tsfile/live/1013_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-1,http://114.245.198.169:85/tsfile/live/1/1001_1.m3u8?key=txiptv
CCTV-1,http://182.207.218.175:999/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://114.241.105.149:85/tsfile/live/2/1002_1.m3u8?key=txiptv
CCTV-2,http://182.207.218.175:999/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://114.245.198.169:85/tsfile/live/2/1002_1.m3u8?key=txiptv
CCTV-3,http://112.27.5.218:9901/tsfile/live/faacts/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3,http://114.245.198.169:85/tsfile/live/3/1003_1.m3u8?key=txiptv
CCTV-3,http://123.159.68.147:85/tsfile/live/1015_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-3,http://182.207.218.175:999/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3,http://114.241.105.149:85/tsfile/live/3/1003_1.m3u8?key=txiptv
CCTV-4,http://114.241.105.149:85/tsfile/live/4/1004_1.m3u8?key=txiptv
CCTV-4,http://114.245.198.169:85/tsfile/live/4/1004_1.m3u8?key=txiptv
CCTV-4,http://61.161.61.119:9004/hls/4/index.m3u8
CCTV-5,http://114.241.105.149:85/tsfile/live/5/1005_1.m3u8?key=txiptv
CCTV-5,http://114.245.198.169:85/tsfile/live/5/1005_1.m3u8?key=txiptv
CCTV-5+,http://38.75.136.137:98/gslb/dsdqbv/cctv5p.m3u8?auth=test20251009
CCTV-5+,http://182.207.218.175:999/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+,http://221.179.116.213:9901/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+,http://61.161.61.119:9004/hls/7/index.m3u8
CCTV-5+,http://114.245.198.169:85/tsfile/live/23/1023_1.m3u8?key=txiptv
CCTV-6,http://182.207.218.175:999/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6,http://114.241.105.149:85/tsfile/live/6/1006_1.m3u8?key=txiptv
CCTV-6,http://114.245.198.169:85/tsfile/live/6/1006_1.m3u8?key=txiptv
CCTV-6,http://123.159.68.147:85/tsfile/live/1018_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-7,http://120.237.39.10:9901/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&down=1
CCTV-7,http://123.159.68.147:85/tsfile/live/1019_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-7,http://114.241.105.149:85/tsfile/live/7/1007_1.m3u8?key=txiptv
CCTV-7,http://114.245.198.169:85/tsfile/live/7/1007_1.m3u8?key=txiptv
CCTV-8,http://112.27.5.218:9901/tsfile/live/faacts/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8,http://182.207.218.175:999/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8,http://114.245.198.169:85/tsfile/live/8/1008_1.m3u8?key=txiptv
CCTV-8,http://114.241.105.149:85/tsfile/live/8/1008_1.m3u8?key=txiptv
CCTV-9,http://112.27.5.218:9901/tsfile/live/faacts/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-9,http://114.241.105.149:85/tsfile/live/9/1009_1.m3u8?key=txiptv
CCTV-9,http://114.245.198.169:85/tsfile/live/9/1009_1.m3u8?key=txiptv
CCTV-10,http://114.241.105.149:85/tsfile/live/10/1010_1.m3u8?key=txiptv
CCTV-10,http://114.245.198.169:85/tsfile/live/10/1010_1.m3u8?key=txiptv
CCTV-11,http://182.207.218.175:999/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-11,http://114.241.105.149:85/tsfile/live/11/1011_1.m3u8?key=txiptv
CCTV-11,http://114.245.198.169:85/tsfile/live/11/1011_1.m3u8?key=txiptv
CCTV-12,http://182.207.218.175:999/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-12,http://114.245.198.169:85/tsfile/live/12/1012_1.m3u8?key=txiptv
CCTV-12,http://101.66.198.150:85/tsfile/live/0012_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-12,http://120.237.39.10:9901/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&down=1
CCTV-12,http://114.241.105.149:85/tsfile/live/12/1012_1.m3u8?key=txiptv
CCTV-13,http://120.237.39.10:9901/tsfile/live/1028_1.m3u8?key=txiptv&playlive=1&down=1
CCTV-13,http://182.207.218.175:999/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-13,http://114.241.105.149:85/tsfile/live/13/1013_1.m3u8?key=txiptv
CCTV-13,http://114.245.198.169:85/tsfile/live/13/1013_1.m3u8?key=txiptv
CCTV-14,http://38.75.136.137:98/gslb/dsdqbv/cctv14hd.m3u8?auth=test20251009
CCTV-14,http://182.207.218.175:999/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14,http://114.241.105.149:85/tsfile/live/14/1014_1.m3u8?key=txiptv
CCTV-14,http://114.245.198.169:85/tsfile/live/14/1014_1.m3u8?key=txiptv
CCTV-14,http://120.237.39.10:9901/tsfile/live/1029_1.m3u8?key=txiptv&playlive=1&down=1
CCTV-15,http://38.75.136.137:98/gslb/dsdqbv/cctv15hd.m3u8?auth=test20251009
CCTV-15,http://120.237.39.10:9901/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&down=1
CCTV-15,http://182.207.218.175:999/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-15,http://114.245.198.169:85/tsfile/live/15/1015_1.m3u8?key=txiptv
CCTV-15,http://114.241.105.149:85/tsfile/live/15/1015_1.m3u8?key=txiptv
CCTV-16,http://38.75.136.137:98/gslb/dsdqbv/cctv16hd.m3u8?auth=test20251009
CCTV-16,http://112.27.5.218:9901/tsfile/live/faacts/1001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-17,http://221.179.116.213:9901/tsfile/live/1036_1.m3u8?key=txiptv&playlive=1&authid=0
CETV-1,http://112.27.5.218:9901/tsfile/live/faacts/1050_1.m3u8?key=txiptv&playlive=1&authid=0
CETV-4,http://121.24.98.227:85/tsfile/live/1082_1.m3u8?key=txiptv&playlive=1&authid=0
CGTN,http://139.227.221.33:85/tsfile/live/1001_1.m3u8?key=txiptv&playlive=0&authid=0
湖南卫视,http://114.245.198.169:85/tsfile/live/26/1026_1.m3u8?key=txiptv
湖南卫视,http://120.237.39.10:9901/tsfile/live/1044_1.m3u8?key=txiptv&playlive=1&down=1
湖南卫视,http://114.241.105.149:85/tsfile/live/26/1026_1.m3u8?key=txiptv
浙江卫视,http://114.241.105.149:85/tsfile/live/27/1027_1.m3u8?key=txiptv
浙江卫视,http://182.207.218.175:999/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://114.245.198.169:85/tsfile/live/27/1027_1.m3u8?key=txiptv
浙江卫视,http://61.161.61.119:9004/hls/45/index.m3u8
东方卫视,http://120.237.39.10:9901/tsfile/live/1047_1.m3u8?key=txiptv&playlive=1&down=1
东方卫视,http://114.241.105.149:85/tsfile/live/41/1041_1.m3u8?key=txiptv
东方卫视,http://114.245.198.169:85/tsfile/live/41/1041_1.m3u8?key=txiptv
江苏卫视,http://120.237.39.10:9901/tsfile/live/1046_1.m3u8?key=txiptv&playlive=1&down=1
江苏卫视,http://114.241.105.149:85/tsfile/live/28/1028_1.m3u8?key=txiptv
